trial,state,objective,avg_composite,avg_vif,avg_nrqm,avg_unique,denoise_radius,ltm_radius,ltm_downsample,post_denoise_radius,sharp_radius,raw_y_blur_radius,day_vif,day_nrqm,day_unique,day_composite,night_vif,night_nrqm,night_unique,night_composite
64,trialstate.complete,1.915327307737738,1.915327307737738,0.7141732970873516,7.685143311818441,1.2979203363259633,4,7,0.25,0,1.5,6,0.5259876251220703,7.754435062408447,0.9710051019986471,1.6250991750274302,0.9023589690526327,7.6158515612284345,1.6248355706532795,2.2055554404480455
65,trialstate.complete,1.915327307737738,1.915327307737738,0.7141732970873516,7.685143311818441,1.2979203363259633,4,6,0.25,0,1.5,6,0.5259876251220703,7.754435062408447,0.9710051019986471,1.6250991750274302,0.9023589690526327,7.6158515612284345,1.6248355706532795,2.2055554404480455
66,trialstate.complete,1.8335514834633768,1.8335514834633768,0.6594062050183613,7.798720041910808,1.1828210055828094,4,7,0.25,1,1.5,5,0.5210081140200297,7.661753336588542,0.9852250615755717,1.615591473129054,0.7978042960166931,7.935686747233073,1.3804169495900471,2.0515114937976997
67,trialstate.complete,1.84041607843709,1.84041607843709,0.6650014817714691,7.833509206771851,1.1761922041575115,4,6,0.25,2,1.5,6,0.5184810161590576,7.637413342793782,0.9788491328557333,1.6085050684406361,0.8115219473838806,8.029605070749918,1.3735352754592896,2.0723270884335436
68,trialstate.complete,1.9153254997333984,1.9153254997333984,0.7141747077306111,7.685143311818441,1.2979106803735097,4,7,0.25,0,1.5,7,0.5259833335876465,7.754435062408447,0.9710030754407247,1.6250942079743744,0.9023660818735758,7.6158515612284345,1.6248182853062947,2.2055567914924223
69,trialstate.complete,1.867372684758395,1.867372684758395,0.6827025810877482,7.863937457402548,1.1948302686214447,4,7,0.25,6,1.5,7,0.5172521869341532,7.664124170939128,0.9394249320030212,1.5968059348874293,0.8481529752413431,8.063750743865967,1.4502356052398682,2.1379394346293608
70,trialstate.complete,1.695284988977184,1.695284988977184,0.8192278047402699,7.0899646282196045,0.5011826654275258,4,8,1.0,0,1.5,7,0.6980363726615906,6.422299702962239,0.22792357206344604,1.4162407910044392,0.9404192368189493,7.75762955347697,0.7744417587916056,1.9743291869499286
71,trialstate.complete,1.915327307737738,1.915327307737738,0.7141732970873516,7.685143311818441,1.2979203363259633,4,6,0.25,0,1.5,6,0.5259876251220703,7.754435062408447,0.9710051019986471,1.6250991750274302,0.9023589690526327,7.6158515612284345,1.6248355706532795,2.2055554404480455
72,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,7,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
73,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,6,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
74,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,8,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
75,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,8,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
76,trialstate.complete,1.9153398571646512,1.9153398571646512,0.7141755918661754,7.685246785481771,1.2979200581709545,4,8,0.25,0,1.5,5,0.5259893536567688,7.754435062408447,0.9710109035174052,1.625102837399781,0.9023618300755819,7.616058508555095,1.6248292128245037,2.2055768769295216
