step,lr,loss,ms_ssim,vif,nrqm,unique,vif_term,a_nrqm_term,b_unique_term,composite,l1_y,l1_uv,head_grad_mean,body_grad_mean,tail_grad_mean
10,0.00010000,-1.68069828,0.92215872,0.45934680,2.07461023,2.08233142,0.45934680,0.20746102,0.69410978,1.36091760,0.07679707,0.03963898,0.02770718,0.02051364,0.62559015
11,0.00010000,-1.69791651,0.92405653,0.45811865,2.22663355,2.13466811,0.45811865,0.22266335,0.71155533,1.39233733,0.08193066,0.03976072,0.06946744,0.03259363,0.85432571
12,0.00010000,-1.70947778,0.92717344,0.45795926,2.09147406,2.16261458,0.45795926,0.20914741,0.72087081,1.38797748,0.08543935,0.03867874,0.04911447,0.02450011,0.81071472
13,0.00010000,-1.71721900,0.92902189,0.46319947,2.23734331,2.17755651,0.46319947,0.22373433,0.72585145,1.41278524,0.08654825,0.04029626,0.04111262,0.02019026,0.49528447
14,0.00010000,-1.73500705,0.92944247,0.47118071,2.10090160,2.22853851,0.47118071,0.21009016,0.74284543,1.42411630,0.08493617,0.04351274,0.04349161,0.02159999,0.47601706
15,0.00010000,-1.73945272,0.92847556,0.47725290,1.95817542,2.24176550,0.47725290,0.19581754,0.74725442,1.42032486,0.08109403,0.04728417,0.02981884,0.01448787,0.31493533
16,0.00010000,-1.74317515,0.92830181,0.48207316,1.96852028,2.25064230,0.48207316,0.19685203,0.75021335,1.42913854,0.07770599,0.04941350,0.02738374,0.01437813,0.30839270
17,0.00010000,-1.74912667,0.92886555,0.48792359,1.97922838,2.26284575,0.48792359,0.19792284,0.75428116,1.44012759,0.07527506,0.04969667,0.03432358,0.01986572,0.35005105
18,0.00010000,-1.75949812,0.92967719,0.49348572,2.23882079,2.28921294,0.49348572,0.22388208,0.76307022,1.48043802,0.07307106,0.04988638,0.02857405,0.01944541,0.29697764
19,0.00010000,-1.76575255,0.93068415,0.49740806,2.26660776,2.30288768,0.49740806,0.22666078,0.76762846,1.49169730,0.07072072,0.05020361,0.01867231,0.00963798,0.24353762
20,0.00010000,-1.77139449,0.93122733,0.50002390,2.31057692,2.31710362,0.50002390,0.23105769,0.77236710,1.50344870,0.06878600,0.04971009,0.02276821,0.01339277,0.25633189
21,0.00010000,-1.77894759,0.93110502,0.50288552,2.31493306,2.33954978,0.50288552,0.23149331,0.77984915,1.51422797,0.06665605,0.04888003,0.02906565,0.01874306,0.19909562
22,0.00010000,-1.78635001,0.93042314,0.50571805,2.38422585,2.36352944,0.50571805,0.23842258,0.78784236,1.53198300,0.06498932,0.04847401,0.02827054,0.01370920,0.19167045
23,0.00010000,-1.79370093,0.92958295,0.50512123,2.56975985,2.39136314,0.50512123,0.25697598,0.79712025,1.55921747,0.06272179,0.04827246,0.01807533,0.00852671,0.22517230
24,0.00010000,-1.79827142,0.92890388,0.50402111,2.56149864,2.40996575,0.50402111,0.25614986,0.80332111,1.56349209,0.06038809,0.04828487,0.01713963,0.00968754,0.18107502
25,0.00010000,-1.80223000,0.92868906,0.50134432,2.54980254,2.42652392,0.50134432,0.25498025,0.80884050,1.56516508,0.05801318,0.04819475,0.03513711,0.01458554,0.15675609
26,0.00010000,-1.80706120,0.92938370,0.49853536,2.55825830,2.44295406,0.49853536,0.25582583,0.81431721,1.56867840,0.05493124,0.04769333,0.02372139,0.01228605,0.15674025
27,0.00010000,-1.81152022,0.93065459,0.49614033,2.58521748,2.45579481,0.49614033,0.25852175,0.81859745,1.57325953,0.05199213,0.04714926,0.01861968,0.01104342,0.18427393
28,0.00010000,-1.81396604,0.93150640,0.49551520,2.59922385,2.46149087,0.49551520,0.25992239,0.82049614,1.57593372,0.05074214,0.04642190,0.02181286,0.00988832,0.14985763
29,0.00010000,-1.81988955,0.93141508,0.49766022,2.60719037,2.47928095,0.49766022,0.26071904,0.82642616,1.58480541,0.05152560,0.04607875,0.02522907,0.01528330,0.17423874
30,0.00010000,-1.82294416,0.93075103,0.49987781,2.60880399,2.48946548,0.49987781,0.26088040,0.82982100,1.59057920,0.05259468,0.04609812,0.01470472,0.00879995,0.12841888
31,0.00010000,-1.82435322,0.93071675,0.50019211,2.61682725,2.49420357,0.50019211,0.26168272,0.83140036,1.59327519,0.05243016,0.04682313,0.01656370,0.00827333,0.12220581
32,0.00010000,-1.82832634,0.93186533,0.49806052,2.56561756,2.50618362,0.49806052,0.25656176,0.83539371,1.59001599,0.05059131,0.04812276,0.02128050,0.01199010,0.15987216
33,0.00010000,-1.83156562,0.93316036,0.49603659,2.57616401,2.51516509,0.49603659,0.25761640,0.83838753,1.59204051,0.04844594,0.04955249,0.01399577,0.00848102,0.13604373
34,0.00010000,-1.83478844,0.93349564,0.49552321,2.64722753,2.52580094,0.49552321,0.26472275,0.84193281,1.60217877,0.04760056,0.05104372,0.02377149,0.01022479,0.11429084
35,0.00010000,-1.83849132,0.93307287,0.49693415,2.70699859,2.53862119,0.49693415,0.27069986,0.84620622,1.61384022,0.04796093,0.05248153,0.02154822,0.01093810,0.11148071
36,0.00010000,-1.84090459,0.93296647,0.50049919,2.65186977,2.54387498,0.50049919,0.26518698,0.84795748,1.61364364,0.04826888,0.05374334,0.01595440,0.00777666,0.12488093
37,0.00010000,-1.84324348,0.93358821,0.50400966,2.66524649,2.54640937,0.50400966,0.26652465,0.84880227,1.61933659,0.04777550,0.05470415,0.02943788,0.01031834,0.12958761
38,0.00010000,-1.84615445,0.93429041,0.50585395,2.65897226,2.55225372,0.50585395,0.26589723,0.85075039,1.62250157,0.04728468,0.05568215,0.03180293,0.01074212,0.09535655
39,0.00010000,-1.84848404,0.93451011,0.50777519,2.62375236,2.55778885,0.50777519,0.26237524,0.85259543,1.62274585,0.04745454,0.05695375,0.02021022,0.00796723,0.08714781
40,0.00010000,-1.85127640,0.93459111,0.51159984,2.59481812,2.56348109,0.51159984,0.25948181,0.85449284,1.62557449,0.04786649,0.05839154,0.01961048,0.00984045,0.08498358
41,0.00010000,-1.85352206,0.93472236,0.51543218,2.57488298,2.56709099,0.51543218,0.25748830,0.85569614,1.62861662,0.04810406,0.05957370,0.01202865,0.00706375,0.07793635
42,0.00010000,-1.85546815,0.93504506,0.51678950,2.58658481,2.57153034,0.51678950,0.25865848,0.85717592,1.63262390,0.04772769,0.06072916,0.02139511,0.00742035,0.08090030
43,0.00010000,-1.85741460,0.93585771,0.51557618,2.52297115,2.57687449,0.51557618,0.25229712,0.85895731,1.62683061,0.04618611,0.06178551,0.02032505,0.00816524,0.08862041
44,0.00010000,-1.85921574,0.93688333,0.51474833,2.58159757,2.58056808,0.51474833,0.25815976,0.86018850,1.63309659,0.04426415,0.06262574,0.01395511,0.00622863,0.07876348
45,0.00010000,-1.86122465,0.93708467,0.51475883,2.59290528,2.58672214,0.51475883,0.25929053,0.86223985,1.63628920,0.04387265,0.06304228,0.01310811,0.00645151,0.08143163
